datum;fallzahl_id;positiv_getest;quarantaene;genese;akut_erkrankt;verstorbene
2020-09-09;771;1069;;1024;36;9
2020-07-27;596;807;;764;34;9
2020-06-11;430;749;;730;11;8
2020-04-16;228;550;1067;135;411;4
2020-06-06;412;746;;720;18;8
2020-05-23;360;704;;680;16;8
2020-09-13;784;1111;;1037;65;9
2020-08-28;726;1012;;960;43;9
2020-07-14;552;774;;751;14;9
2020-06-29;488;759;;748;3;8
2020-07-16;560;774;;754;11;9
2020-10-06;868;1338;;1227;102;9
2020-08-30;731;1018;;960;49;9
2020-07-05;515;768;;751;9;8
2020-06-08;417;749;;725;16;8
2020-04-20;239;573;1078;355;214;4
2020-03-12;18;20;171;0;20;0
2020-06-05;408;742;;708;26;8
2020-08-03;623;832;;795;28;9
2020-03-13;20;25;194;0;25;0
2020-03-06;8;2;174;0;2;0
2020-09-29;843;1243;;1162;72;9
2020-10-07;872;1367;;1240;118;9
2020-06-07;416;747;;722;17;8
2020-07-25;594;797;;763;25;9
2020-03-29;164;263;772;23;239;1
2020-08-25;714;995;;935;51;9
2020-08-22;703;984;;914;61;9
2020-07-19;570;778;;756;13;9
2020-09-10;775;1077;;1030;38;9
2020-07-20;571;779;;756;14;9
2020-05-01;271;661;1085;457;198;6
2020-05-17;335;693;;667;20;6
2020-06-20;461;756;;740;8;8
2020-07-11;548;774;;751;14;9
2020-04-12;215;504;1032;118;384;2
2020-08-17;678;933;;871;53;9
2020-04-30;268;649;1089;453;190;6
2020-06-24;475;757;;745;4;8
2020-04-11;212;484;1007;116;366;2
2020-09-26;833;1213;;1141;63;9
2020-09-04;753;1041;;991;41;9
2020-04-18;234;561;1065;338;219;4
2020-04-02;180;334;718;78;254;2
2020-06-16;447;754;;737;9;8
2020-03-17;29;64;357;0;64;0
2020-03-15;1;37;236;0;37;0
2020-06-14;439;752;;737;7;8
2020-09-17;800;1133;;1069;55;9
2020-07-23;587;789;;761;19;9
2020-08-11;660;896;;833;54;9
2020-05-13;305;688;;643;39;6
2020-10-02;855;1281;;1183;89;9
2020-04-01;176;305;742;62;242;1
2020-07-22;583;782;;758;15;9
2020-09-21;808;1162;;1103;50;9
2020-09-11;779;1085;;1034;42;9
2020-03-10;14;12;240;0;12;0
2020-08-15;676;930;;854;67;9
